horas_estudo,pontuacao_teste
1.1,30
2.0,55
2.5,60
3.6,75
4.2,85
5.0,100
5.5,115
6.1,120
6.5,130
7.2,145
7.8,150
8.3,155
9.1,165
9.5,170
10.0,180
10.5,185
11.2,200
11.8,205
12.4,210
13.0,220
13.6,225
14.1,230
14.7,245
15.2,250
16.0,265
16.5,270
17.1,280
17.7,285
18.2,290
18.8,305
19.4,310
20.0,320
20.6,325
21.1,330
21.7,345
22.3,350
22.9,360
23.4,365
24.0,370
24.6,385
25.2,390
25.7,395
26.3,405
26.9,410
27.5,415
28.0,430
28.6,435
29.2,440
29.8,455
30.4,460
30.9,465
31.5,480
32.1,485
32.7,490
33.3,495
33.9,500
34.4,515
35.0,520
35.6,525
36.2,540
36.8,545
37.3,550
37.9,560
38.5,565
39.1,570
39.7,585
39.8,590
40.1,595
40.5,605
40.7,610
40.9,615
41.0,625
41.2,630
41.3,635
41.5,640
41.8,655
41.9,660
42.1,665
42.3,670
42.5,680
42.8,685
42.9,690
43.1,695
43.3,700
43.5,710
43.8,715
43.9,720
44.1,725
44.4,730
44.6,735
44.8,740
44.9,750
45.1,755
45.3,760
45.5,765
45.7,770
46.0,780
46.2,785
46.4,790
46.6,795
46.9,800
